text,label,exp1_pred,exp1_conf,exp3_pred,exp3_conf
#Eleksyon2016 Mar Roxas 'Di Ako Magnanakaw' commercial is so ugly! His face is so near d camera and he is not the handsomest guy in country.,1,1,0.99589324,1,0.939
"""@imdanielpadilla: Panoorin natin nang malaman natin ang mga  plano ni Mar Roxas para sa Pilipinas ! #RoxasRobredo  https://t.co/x0fm7VA1Xm",0,0,0.99294794,0,1.0
"RT @LaLigaya: Kung hindi tumakbo si Grace Poe bilang presidente, hindi nalaman ng mga ordinaryong mamamayan ang citizenship issue na to.",0,1,0.97467786,0,0.997
"RT @RacheCindy: Seen Mar Roxas here in AATF Complex Imus, Cavite. #marroxas",0,0,0.9927088,0,1.0
Baka biglang mataasan ni Roxas si Duterte ah! Halatang halata na yun! #Halalan2016 #DU30,1,1,0.90022856,1,0.5215
Ito si Mar. Tularan si Mar! #BayangMatuwid #DaangMatuwid #RoxasRobredo2016 #Halalan2016 #VotePH https://t.co/Q4XS1tuol8,0,0,0.99349546,1,0.835
@MyRizalPH @HirapNgPinoy @wordpressdotcom you cant deny the fact that mar roxas cant answer this allegations because they are all true.,0,1,0.9560267,0,0.773
YUNG GINAGAWANG KALSADA SA MAKATI SA ARNAIZ AVE PAKITAPOS NA AGAD PLS LANG ARAW ARAW ANG HIRAP BUMYAHE BINAY PAKIBILISAN YON IBOBOTO KITA,0,0,0.9189478,0,0.9688
#PHVote #Halalan2016,0,0,0.9876967,0,0.7505
di ko makalimutan yung exhawsted ni binay,0,1,0.70317644,1,0.684
@KhevinChristian pag nanalo si binay tara na sa germany hahahahahahahaha,0,0,0.53411716,0,0.9985
Me personally got depressed. I can't imagined. How sad.??,1,1,0.9937895,1,0.611
Wew sumama pa si Jolo Revilla dun sa kampanya ni Binay sa amin.,0,0,0.9918968,0,0.8604
nkklk yung kapatid ko kabisado TVC ni Binay! -_- like srsly?,1,1,0.9915411,1,0.9736
@Access_TRUTH c mar roxas walang drama pro mgkkron ng mmk story hehe!c LBM mahilig gawa istorya pro wla katorya-torya lol #ABSCBNONESIDED,1,1,0.98989874,1,0.968
"If u ever feel bad about urself, pls remember that I have a Fbook contact who wholeheartedly roots for Binay, posting photos w/ him &amp; stuff",0,1,0.9966292,0,0.9746
"Binay: ""Tatanggalin natin ang corporate tax. Para income tax, para wala ka nang bayaran.""

Besh saan tayo kukuha ng nanakawin mo besh? ??",1,1,0.9915052,1,0.9043
@rochellehope23 bwas icontinue ang partial unofficial counting. Turn out of votes ni. Bwas si mar roxas na na no.1 ??,0,1,0.9961695,0,0.984
SAMOKA BINAY OI,1,1,0.6264035,1,0.9995
Hay Naku Binay ??,1,1,0.995893,1,0.9995
Dahil kay binay #ALDUBCountdown,0,0,0.9322459,0,0.9893
"""Bahala kayo sa buhay niyo."" - Mar Roxas#2YearsAfter https://t.co/KbSMeh4SGE",0,0,0.9859072,0,0.992
"Binay credits Arroyo for CCT program: ILOCOS SUR - In stark contrast to President Aquino, Vice-P... https://t.co/ulmgzb5vlK (via ABS-CBN)",0,1,0.99651116,0,0.9995
"Binay on INC, Duterte on corruption, Pacquiao’s first shot | 6PM wRap https://t.co/JPLYZOyFIX | via Rappler",0,0,0.99288625,0,0.995
Umay ako sa Paid TV ad mo Sir VP Binay. Masyado na garapalan.,1,1,0.99054855,1,0.9146
"Grabe, mga desperado talaga mga kalaban ni Duterte lalo na si Trillanes. Hays ???? DUTERTE OR NOTHING",1,1,0.99555784,1,0.985
I don't know ha but there's just something about mar roxas face that screams fake to me idek #DuterteTillTheEnd,1,1,0.9889292,1,0.948
Binay ?????,0,0,0.7652077,0,0.7617
"Oh ayan mga bobo. Gagawin bayan ni binay , mar , poe , ? SALITA! ./. https://t.co/nhEKwUzQJn",1,1,0.9955706,1,0.9966
#Roxas on 3rd spot. Is #DayaangDILAW still possible? I hope not! #DapatTama #Eleksyon2016 #Halalan2016 https://t.co/MvbIq5buNe,1,1,0.9962489,1,0.9443
"Du30= bad freudian slips, Mar=TRAPO,  Poe= NEWBIE, Binay= NO WAY, Miriam= past her prime. Pili lang.",1,1,0.9937342,1,0.9927
"Grabe ka na, Binay! #AyokoSaTrapo",1,1,0.968532,1,0.954
"Mar Roxas: ""It is unfortunate that Sen. Poe has rejected and ridiculed my offer to meet and talk about unity...""  https://t.co/imxKlTFpSg",0,1,0.9434402,0,0.9995
"@OrasNaRoxasNa Napansin ko sa lugar namin, halos walang bumoto kay Binay at Poe. Pero lamang ang RoRo sa DeCay o Dut-BBM. #RoxasRobredo na",0,0,0.99314344,0,0.9824
"Hindi lang kay Binay gaganda ang buhay, kay Drake din. XD",0,0,0.99205387,0,0.992
Kambingan with Senator Nancy Binay ?? http://t.co/QlUvWdbZ6e,1,0,0.87352455,0,0.9956
VP Binay is top spender on TV ads among presidential bets https://t.co/mxiCDxgLdu via @inquirerdotnet,0,0,0.98927945,0,0.9995
"Mar shades Binay in his latest ad, ""hindi naman tungkol sa akin ang eleksyon eh"".",0,0,0.8966392,0,0.9956
Slap me Binay,1,0,0.89789504,1,0.9897
Yan si binay! Yan talaga siya sariling lait ! XD #ALDUB14thWeeksary,1,1,0.98377305,1,0.9736
Tangnang Binay Ad.,1,1,0.98335487,1,0.9976
@chiarazambrano Wala. Gusto nyo lang siraan si VP Binay. Hindi ganyan si Idol tsk,1,1,0.91683114,1,0.856
"Good morning Binay. ?? @ Makati, Philippines https://t.co/X4gHISKyrY",0,1,0.9781536,0,0.9976
Pang MMK nanaman yung closing remarks ni Binay at Mar! Pwe! ????,1,1,0.98981464,1,0.9985
"#TV5AksyonTonite | VP Binay, nangampanya sa batangas kung saan karamihan ng nakaupo ay taga-LP. #BilangPilipino #news5",0,0,0.99113244,0,0.998
"HAY BUHAY NGA NAMAN!! SBI NI GRACE POE ""MAY BAGONG UMAGANG PARATING!"",  YUNG KAY BINAY ""PARATING NA PARATING NA!"" BUHAY NGA NAMN???????????",0,1,0.9964959,1,0.7227
Annoying kayning bag o nga ad ni binay hahahahanimas @sofiabigail__ @khrishaann,1,1,0.99598616,1,0.9927
"MAR ROXAS MINALIIT MO ANG TAGA MINDANAO,#DU30forPresident2016",1,0,0.5860384,1,0.9893
Hahhaa.. BLACK LADY referring to NANCY BINAY #GGVHahaHalloween,1,1,0.97857124,1,0.9976
Maniniwala pa ako kung si binay o si poe pumapangalawa eh,0,0,0.9604497,0,0.79
Di na ako magtataka kung bukas makalawa si Grace Poe ay may guesting sa Ang Probinsyano. Siya na ang susunod na leading lady ni Cardo.,0,0,0.9780059,0,0.9976
"* Kung hindi ka taga Makati ,
hindi mo pwedeng husgahan ang mga #BINAY ?",0,1,0.9247135,0,0.9917
me @ that Binay commercial: https://t.co/x6HqnHXu3E,0,1,0.7456821,0,0.9565
"On the other hand, tangina mo Binay make it stop, Nognog what what what??? #CrapAd",1,1,0.9963007,1,0.999
Scary costume ideas: A President Binay costume.,1,1,0.97785544,1,0.993
"""Laging buksan ang ilaw. Para makita ang mga Binay"" - Alma Knows.",0,0,0.8734073,0,0.991
Aye aye duterte-roxas!!!!,0,0,0.7588248,0,0.989
"Binay be like ""di gumana yung cheat pre"" https://t.co/rJt6K1zMhP",1,1,0.99634236,0,0.5864
"Masyado ng desperado tong binay na toh paawa masyado sa mga tv ads nya as if naman mananalo, tsamba lang naman yung sa survey nya ????????",1,1,0.9961993,1,0.9946
Duterte or mar roxas https://t.co/HT1fsOFhlZ,0,1,0.85660815,0,0.988
"Grabe si Binay oh, makadeny sa accusations wagas!milyones ang deposit from dummies acct!!tsek tsek https://t.co/t7WyyRmWbD",1,1,0.9965276,1,0.983
#VoteMaineFPP  #KCA https://t.co/wGELbqBAEC,0,0,0.9745069,0,0.9775
No to Leni Robredo + No to Mar Roxas + No to Aquino Administration – Let go of toxic people,1,0,0.9922935,1,0.9453
#NOTOROXAS https://t.co/Io8nlUifRk,0,1,0.9505885,1,0.981
THE STANDARD: UPDATE: Binay gets 29% in SWS survey for pres’l bets while Duterte &amp; Poe get 24% and Roxas gets 18%.,0,0,0.99257153,0,0.9995
Si Binay talaga ang may ari ng Mahiwagang Black Box. ??,0,1,0.99170166,1,0.902
@MaeBacit_ mga pilipino hahaha galit ako sa mga pinoy galit kc sila may binay tas sasabihin wg judgemental e jinajudge n nga nila c binay e,0,0,0.98928165,0,0.9536
"Kahit sino nalang manalo, please wag lang sina roxas, binay, poe, mar, grace at jojo. Please! Please!",0,1,0.7883621,1,0.894
Ano ba yan Mar everytime nakikita kita pra ako nahihilo hahahah. Sakit sa mata nung yellow hahaha! Peaceyoww! #MarRoxas,1,1,0.99595463,1,0.996
Mar Roxas is talking about drugs in Davao and Makati. You're the DILG secretary remember? Isn't that failure on your part? Kagwang,1,0,0.5587219,1,0.965
-VP hardly bothered by... https://t.co/l533NPmnr3,0,1,0.56661636,0,0.995
"Tanong lang? Kung iba ba at hindi si Mar Roxas ang inendorso ng KathNiel, Magagalit pa din ba kayo sakanila? Tanong lang to ha.",0,0,0.9784218,0,0.9893
LP bet Mar Roxas with Isabela Gov. Bojie Dy #TropangMarangal I via RH28 @raymundsdadpaas https://t.co/c6PlaXbLID,0,1,0.9946814,0,1.0
"Sira ulo tong mga katabi ko, trip si binay tssk ????",1,1,0.9963413,1,0.992
ayan na naman yung commercial ni binay punyeta,1,1,0.99228036,1,0.9976
ANNOYING Binay ads. Sinong niloloko mo?,1,1,0.9922537,1,0.995
Annoying tv commercial of Binay ??,1,1,0.9957867,1,0.989
"From rate 1 to Mar Roxas, how desperate are you? #DuterteTillTheEnd",1,1,0.9962501,1,0.9536
"""Bakit kung sino pa nognog siya pa yung nagbigay liwanag?"" NATATAWA AKO LAGI TUWING NAPAPAKINGGAN KO TO SA COMMERCIAL NI BINAY HAHAHAHA",1,0,0.9793452,1,0.969
sana hindi maitoloy ang dayu ni mar roxas,1,1,0.98397243,1,0.953
#Binay and #Duterte: Never again to the Reign of Insatiable GREED and TERROR in Malacanang. Over our dead bodies! https://t.co/Q99UWexDXD,1,1,0.9967278,1,0.982
Nakakaloka ang episode ng MMK. Subtle campaign for Lennie Robredo! What's next? Life story ni Mar Roxas???,1,1,0.996089,1,0.991
"Shame on you, my fellow countrymen for choosing Roxas and Binay over Santiago. You say she's dying, but what's really dying is our country.",1,1,0.99628395,1,0.975
Sa tuwing napapanood ko yung ad ni Roxas at Binay nababadtrip ako taena!,1,1,0.99568534,1,0.9985
Hindi si Binay at Kokey iisa.??? https://t.co/JA4zxar6oR,1,1,0.9947261,1,0.937
OFW who ‘voted for Duterte but got Roxas in receipt’ not a registered voter https://t.co/0O85tyR86I via @NewsGraph,0,0,0.99179816,0,0.9956
#TSOpinion Do you think it’s gonna be Binay-versus-Mar fight on May? https://t.co/ZAyZzL02Z2 https://t.co/glWEMSbcHV,0,1,0.9953004,0,0.998
hindi naman si binay sinusuportahan niyo pero bat kayo makati? https://t.co/RMDLxhHXUA,0,0,0.99130577,0,0.9995
#onlybinay,0,0,0.9914746,0,0.995
"Binay, Poe urge swift action on ‘tanim-bala’ scam https://t.co/JSPdpuaVlI",0,0,0.9876621,0,1.0
"Si Roxas mananalo dyan. Alam na. Pangalawa na eh. Hindi ako botante pero sana si Duterte nalang. Lord, kayo na pong bahala sa Pilipinas. ????",1,0,0.99199873,1,0.698
"Some Duterte followers are not aware GMA is also airing an anti-Duterte ad. Super hate nila ang ""ABias-CBN"" pero yun lang pinapanood nila! ??",1,1,0.8537886,1,0.882
#OnlyBinayNangabakIlocos,0,0,0.99218845,0,0.9927
"RT @ItMightBio: Grabe. Ang dami ng commercials ni Binay. Yung nognog at pandak, ngayon naman Only Binay. Hahaha. Sorry, di ako nadala sa mg…",0,0,0.9816049,1,0.8994
"Binay brushes off swipes from Aquino, Roxas https://t.co/rWjeQXHb87 via @inquirerdotnet",0,0,0.934313,0,1.0
Grabe Binay.,1,1,0.7292682,1,0.8325
Grabe naman sila kay #Binay... Skin color is never the issue ???????? https://t.co/SJ6rVG7N7A,0,1,0.97559184,0,0.975
binay wahahahahahahahahahaha,0,0,0.98544425,0,0.989
"Naisip ko lang, diba INC si kathryn bernardo? At ineendorso nya si Mar Roxas? So, titiwalag na sya sa INC kasi pinili ng inc ay si duterte?",0,0,0.95225096,0,0.9854
"kung si Binay, pinipilit nya na itinakwil ni Poe ang pagka pilipino nya. ikaw, pinipilit mong mahalin k ng taong alam mong di nya kaya.????????",0,0,0.99067885,0,0.9844
"Between Jan. 1 and Nov. 30 last year, Binay already shelled out P595,713,000 for TV ads. https://t.co/WxqeTYhfIq https://t.co/KG1MqMV0tT",0,1,0.9878996,0,0.9985
@PhilstarNews pinauna nya lng kyo nung 1st debate nglakihn na ulo nyo. Ngyon abangan nyo si VP Binay 2.0 #PHVoteBinay,0,1,0.9962909,1,0.783
5. Santiago,0,0,0.99154294,0,0.9976
Unity for @MARoxas' ambition? Hindi yan para sa bayan gago @dawende ?? Grace tells Mar: I won't give way https://t.co/1gJrIcECYf #AyawSaDILAW,1,1,0.99621564,1,0.997
"""Pag nanalo si binay aalis nko dito sa Pilipinas"" - Patawa ka ma'am ??",1,1,0.9818964,1,0.8423
Binay- Dark,1,1,0.97151417,1,0.9927
Ka kulay mo ba si Binay? ???? #VoteKathrynFPP #KCA,1,1,0.93701816,1,0.5312
@zaplaruman ba't naman wag si roxas? Okay naman yun e. Kumpara mo naman kay binay and poe? Hahaha,0,1,0.91726935,0,0.995
It's unfair to compare a medical practitioner who spent thousand of sleepless hours just to get that profession. What a poor analogy N.Binay,1,1,0.99639773,1,0.6143
"Forget Ayala skyline, look beyond: Abi Binay https://t.co/zQbc7GaoMT https://t.co/sS03oJdXwf",0,1,0.99657404,0,0.999
"Anyway ganun nga rin pala pag si Binay mismo iniinterview, puro fail din mga sagot. Anong ieexpect sa UNA kung yung president mismo.... lol",1,1,0.99637115,0,0.5493
Nakakastress tong pagmumuka ni #binay. Leche,1,1,0.99435884,1,0.9985
"If Duterte and Miriam runs for the same post in 2016, wala na. Mahahati boto. For sure si Nognog, pandak, laki sa hirap mananalo. Tandem na!",1,1,0.8699815,0,0.8975
"Parang si Binay lang, kung walang itinatago, walang dapat ikatakot. https://t.co/stQQQ1dbtr",0,0,0.76381224,0,0.997
VP Binay eyes suit vs. gov’t execs telling poor he’d stop cash doles https://t.co/6OczR1xc4h | via GMA News,0,0,0.99185115,0,1.0
"Roxas was an option, kaya lang walang identity. Binay was never an option.",0,0,0.5031161,0,0.9927
Wtf baka nagkapalitan lang si binay tas si miriam https://t.co/bORkhh2UFt,1,1,0.99646145,1,0.9463
@mikparaiso ay di kasama yan. Pipili ka lang tlga wahahaha! Hulaan ko kay Binay ka? Haha,0,1,0.9962174,0,0.997
Nognog Pandak Puñeta tumigil ka na Binay! ??,1,1,0.9946049,1,0.9966
"BINAY: ""IPAGPAPATULOY HO NATIN ANG LABAN SA CORRUPTION.""

LABAN SA CORRUPTION? TANGINA NAIIMAGINE KO BINUBUGBOG NI BINAY SARILI NIYA ??",1,1,0.99488056,1,0.995
@mrsunlawyer kaya nya siguro pinili nalang si Mar Roxas. Both Grace Poe and Binay are close to Erap. Para quits walang biased kung baga.,0,1,0.97114044,0,0.997
"#Binay and #Duterte: If elected ,will you abolish the TEN Commandments in the Philippines? https://t.co/Dh0S9RpiJn https://t.co/wkHyC8ZrJ3",0,1,0.9967572,1,0.6997
pinatakbo siguro sya dahil ayaw nilang manalo si Binay https://t.co/pyK7FgI6KH,1,1,0.9170236,1,0.978
"Binay, hugas-kamay sa ‘mabagal na Yolanda rehab’ https://t.co/CWcCvf245W | via Brigada News Philippines",0,0,0.99257225,0,0.9995
@anweydaniella mga maala Mar Roxas nga. HAHHAAH.,0,1,0.99540114,0,0.9556
#OnlyB1NAYPresidente  #Halalan2016,1,0,0.9657908,1,0.9736
Mar Roxas and Leni Robredo are the only candidates who spoke against Martial Law. #RoxasRobredo  https://t.co/18UpMevz1l,0,0,0.97857785,0,1.0
"Ipalabas niyo rin life story nina Binay, Cayetano, Marcos, Honasan at Trillanes para fair CHAR HAHA 

#VoteJamesFPP #KCA",0,1,0.9083646,0,0.9087
#MambobolangDuterte,1,1,0.99599874,1,0.9995
"More than five million and gap dfference ni duterte against his rivals, &amp; if ncase manalo si roxas dayaan n tlga to #ALDUBinITALYDay1",0,1,0.9963786,1,0.717
VP Binay criticizes administration for alleged underspending in Bohol https://t.co/fo8YwqdGNx https://t.co/eRKmcW0s9W,0,0,0.9924098,0,1.0
Puta nag play only Binay theme song diri sa Makati. Staaaaahp it!,1,1,0.99644667,1,0.9985
"Nakakatawa yung mga Facebook pages nina Binay and Mar, puro nanghihingi ng sympathy??? Hahahahaha di kayo nakakaawa, nakakatawa kayo.",0,1,0.99666816,1,0.9775
"traffic!!!! only binay only binay, sino pa ba? only binay... tangina!",1,0,0.63880897,1,0.999
Iboboto ko sina Senator DeLima dahil highly qualified siya at Mar Roxas dahil malinaw naman ang plataporma niya para SA INANG BAYAN,0,0,0.9904784,0,0.9966
"Binay, Grace, Mar top TV ad spenders in 2015: Nielsen #Halalan2016 https://t.co/jsExGLIruj | via ABS-CBN News",0,0,0.9920581,0,1.0
YUNG TIPONG TINATAWANAN NI GRACE POE AT DUTERTE YUNG PINAGSASABI NI BINAY. HAHAHAHAHAHA TANGINA MO KOKEY LUMAYAS KA DYAN HAYOP KA,1,1,0.9957469,1,0.9985
Grace Poe sa pagbabago ng ating bansa #PHVotePOE https://t.co/IrhyGht5DS,0,0,0.98904324,0,1.0
I Vote Roxas Mar Daang Matuwid,0,0,0.85517055,0,0.979
"Partial unofficial count for President as of 11:15pm
1. Duterte - 12,924,166
2. Roxas - 7,533,599
3. Poe - 7,319,008
4. Binay - 4,372,141",0,0,0.62699974,0,1.0
PUMAPANGALAWA RAW SI MAR ROXAS??????,0,0,0.9830966,0,0.9756
At si Nancy Binay pa ang nagsabing Madilim.... https://t.co/Q8u2iZJ2nB,0,1,0.99453086,0,0.9556
#OnlyBinayInMakatiSanKaPa,0,0,0.9913743,0,0.997
NAKAPAKA DESPERADO MO MAR ROXAS,1,1,0.9957136,1,1.0
"RT @TropangMARangal: Mar Roxas: ""Kinokondena natin ang mga sakim at makasariling taong ito na nambibiktima sa ating mga kababayan."" https:/…",1,1,0.9957136,0,0.561
@PHVote Roxas calling for unity to stop Duterte just shows how weak leader he can be.,0,1,0.9947502,0,0.6377
Ugh! Binay! Just stop.,1,1,0.8142249,1,0.999
RT @xpeanutgalleryx: @leahnavarro @ABSCBNNews dunno if he realizes it- but his utterances vs grace poe is the exact thing he says he hates.…,1,1,0.9583367,1,0.5176
huwag daw tularan ng mga kabataan si duterte sabi ni roxas. sino kaya sainyong dalawa yung wag tularan? ??,0,1,0.99160975,0,0.5996
"Parang bagay si Binay at Marcos. Naisip ko lang...  Para isang kampanya lang ng #NoToBinay #NoToMarcos 

Pero nakakatakot ahhh, lakas nyan.",1,1,0.995741,1,0.564
Mar Roxas will not win in an honest election. Subukan n'yo talaga! https://t.co/44gs4B5bBH,1,1,0.99312055,1,0.9336
#PrayForMannyPacquiao https://t.co/Cg5uAuXeAX,0,1,0.9182339,0,0.9517
"#Newsreport Mga kawani ng pamahalaan na bibili ng boto, binalaan ni VP Binay I via Allan Francisco | via DWIZ 882",0,0,0.992044,0,0.94
#RoxasWantedPresident  https://t.co/t2KQIeYitA,1,1,0.7543556,0,0.8667
With Vice President Jejomar Binay https://t.co/qQfKPwm3d5,0,0,0.9926559,0,0.9995
2015/11/22 05:33 PHT https:…,0,0,0.9926387,0,1.0
"So si Trillanes maaaresto, pero si Binay, putangina hindi! Ge maglokohan tayo.",1,1,0.9703973,1,0.99
"Si Binay yung manliligaw mong walang pag-asa as in zero, pero maghihintay pading ikasal ka sa iba para maconfirm ?? https://t.co/dDUWrqwbhI",0,1,0.9963838,1,0.9727
HULING DQ CASE VS POE GALING SA KUMPARE NI BINAY https://t.co/M6uH5Lnbl4 | via Remate,0,1,0.96167827,0,0.964
© Lim,0,0,0.98382205,1,0.5684
it is a statement of desperation - Duterte to Roxas #PHVote,0,0,0.9901045,0,0.5166
Sana may isang salita ka kasi at hindi pabago bago. At sana nag VP ka nalang under Miriam Santiago. #Duterte2016 #Thoughts,0,1,0.8297849,0,0.9526
Wala ka ng pag-asa manalo Mar Roxas kaya shut up ka na lang!,1,1,0.99595875,1,0.9966
"I'm voting for #Du30
But those who are voting for GP or MDS, don't fret
Not #SelfishPOE , it's #GreedyMar
#DisenteKuno #MatuwidKuno",1,1,0.9963174,1,0.9834
Binay: Kami ni Mike Rama humarap sa hamon ng kahirapan- kahirapan sa Cebu at Makati. @cnnphilippines,0,0,0.9926745,0,0.999
Nag tataka talaga ako kung bakit black yung background ng mga commercial ni binay e,0,1,0.9264875,0,0.9717
Wtf puro promises si Mar an binay #PiliPinasDebates2016,1,1,0.996036,1,0.8296
Ms Miriam to withdraw presidency to give away to Duterte. For real?. Duterte/Marcos ?? #Duterte2016,0,0,0.98482704,0,0.9937
Oo meron. Nabuhay si Binay sa lugar namin. https://t.co/wm1FW7y561,0,0,0.61732054,0,0.978
Dinamay mo pa ung iba sa pagiging nognog mo Binay! Ugh! Kainis yung TV ad. ??,1,1,0.9955586,1,0.9966
RT @rapplerdotcom: Pimentel responds: Only Binay's life improved http://t.co/g6fqCQEDJO http://t.co/eqU0iVp90s,0,1,0.9951723,0,1.0
Ano ROXAS imik! Di umepekto yung mga black propaganda mo no? Sayang pera no? Hahahahahahaha #Election2016  #Halalan2016,1,1,0.9736598,1,0.9824
Kairita yung commercial campain ni Binay ??,1,1,0.98214394,1,0.998
"Hay nako Binay, baka nakakalimutan mo, VP ka kaya ngayon...di lang si Pnoy may kakulangan ikaw den.pfff",1,1,0.9964109,1,0.997
"""@Mrjysla: HAHAHAHAHAHAHAHAHA Patola ?? https://t.co/xsIqOWoZWc"" HAHAHA si Binay amputa.??????",1,1,0.9962941,1,0.996
"Handa na akong maging Binay mamaya ????????? #NogNog @ Tagkawayan, Quezon… https://t.co/Q74NOUX6nF",1,1,0.97612494,1,0.9375
"Mar Roxas: ""Sen. Grace Poe, mag-usap tayo... This is for unity. This is for our country. This is for our future."" https://t.co/USW9GvuAKZ",0,1,0.9965863,0,1.0
"Mar Roxas' Message to Supporters https://t.co/nUfi3cbNiH - walang iwanan, Mar! One week to campaign hard for you!",0,1,0.9956488,0,0.992
Puro nalang 'Makati' si Binay at puro 'Tuwid na daan' naman si Roxas. Yung totoo? #PilipinasDebates2016,1,1,0.99609923,0,0.73
Part ka naman ng Administrasyon Binay. Wag kang ipokrito. #PiliPinasDebates2016 #MIRIAM2016 #SiMiriamAngSagot,1,1,0.99238694,1,0.8613
@angelachacoso Mar Roxas is far dumber than Binay.,1,1,0.99464595,1,0.989
"Binay brushes off swipes from Roxas, Aquino https://t.co/3yQk2p87FA I @MJcayabyabINQ #VotePH2016 https://t.co/MfoJKNfMvt",0,0,0.99237436,0,1.0
P2/vote,0,1,0.9275585,0,0.766
#PSYPagyanig,0,0,0.83053946,1,0.5225
"Ang Makati ng mga Binay: Comembo, Cembo, Tiki tiki tembo, No sa Rembo, Chari bari, Ruchipip, Peri Pembo!",0,1,0.9967179,1,0.9263
He (VP Binay) is more qualified than me to be President Duterte said #OnlyBinayInMakatiSanKaPa VP Binay,0,0,0.9926541,0,1.0
@SummerGiiiiiirl pinareport nung matanda na nakasabay ko si poe at cayetano binoto niya pero mar at leni lumabas. BS eh.,1,1,0.98735297,1,0.9917
#GracePoeAKO https://t.co/U2eMgJqzp2,0,1,0.8848793,1,0.6343
Binay. (adjective) : worse than all others.,1,1,0.98446137,1,0.9556
"naturingan pa naman na graduate ""daw"" ng wharton si mar roxas, pero parang mangmang sa mga ginagawa niya",1,1,0.9960848,1,0.933
"May nagawa na rin naman na ko, hanggang dun nalang ako, wala na kong magagawa pa. Hindi ako si Binay.",0,0,0.99185455,0,0.9497
"Binay, self pity pa more. Ikaka-panalo mo yan #nognog #pandak #sinoangumaawaysayoconfusedako",1,1,0.9794453,1,0.996
Aga aga puro endorsement ni Mar Roxas naririnig ko sa radyo. Azaaaaar! panira ng araw #AyawSaDilaw,1,1,0.99653614,1,0.999
Ang hindi ko lang matanggap ay kung bakit mas maraming boto si Roxas at Binay kaysa kay Defensor! ?? WhutDuh!?!,0,1,0.7821238,1,0.986
Duterte widens numbers against Poe and Roxas in Unofficial polls #ILoveGMANetwork #Eleksyon2016 KapusoBrigade,0,1,0.7051859,0,0.998
Mukhang ayos naman c mar roxas ah ??,0,0,0.763122,0,0.7207
"RT @janpee_: While the administration keep throwing issues vs the Binay-s, Mar Roxas is voluntarily making the same destructive issues agai…",0,1,0.89428186,0,0.983
"""Ayusin natin ang Pilipinas."" -  Grace Poe

Eh yung simpleng certificate of candidacy mo may error di mo naayos. Ulol.",1,1,0.9945332,1,0.996
"Binay: So far as the election is concerned, we will wait for the completion of the electoral process | @CeeElMatus @InqNational #VotePH2016",0,0,0.83347905,0,1.0
Madaya talaga. Sakim sa power si Mar Roxas eh. Walang kwenta,1,1,0.9962436,1,0.9995
No need for Binay to prepare for Cebu debate–UNA https://t.co/YP65IRskQd | @YGonzalesINQ #VotePH2016 https://t.co/4yck6odFe8,0,1,0.99565303,0,1.0
Binay distances self from daughter's vote on Poe case https://t.co/6n1Ktdwv9G https://t.co/TYpniADfje,0,0,0.98886067,0,1.0
"@Florian1_ @mgvtrb But now, we have Tito Sotto, Lito Lapid, and Nancy Binay. At gusto pa silang samahan nina Alma, Isko, at Pacquiao.",0,0,0.558526,0,0.999
"Sabi naman sayo Mar Roxas. Change is coming. Tignan mo kanina 2nd ka, ngayon 3rd. Change diba?",0,1,0.7767826,0,0.9375
#REALTALK bukod sa weather report wala nang interesting pa sa news kasi kundi puro #aldub eh basura ng gobyerno at paid ads ni #Binay ??????,1,1,0.98672456,1,0.9937
Poe camp fires back at Duterte https://t.co/WGZSKnMvw2 | @Team_Inquirer #VotePH2016 https://t.co/hvGspGBObY,0,0,0.9934424,0,1.0
VP Binay at Sen.Honasan habang pumipirma sa Integrity pledge ng COMELEC matapos maghain ng kanilang COC @NewsLightTV http://t.co/i9Eu6oE4cb,0,1,0.9962309,0,1.0
"Itong si #MarRoxas alam nman pla nya saan ang my drugs sa dvo &amp; makati,bakit di pa nya sinumbong sa mga pulis..",0,0,0.91681284,0,0.974
"Señorito Binay, gusto po niyo lagyan pa ng carpet o sa likod ng bodyguard ka na maglakad? #pabebe #NoToBinayEVER  https://t.co/nkaR0vIufT",1,1,0.99553776,1,0.99
Sa mga naninira kay VP Binay Goodluck sainyo . isa lng msasabi ko sainyo d nyo kayang siraan ang d nmn sira! #OnlyBinayInMakatiSanKaPa,0,1,0.99385613,1,0.953
Looool at u hahahaha. Eh ikaw pet ka ba ni Mar Roxas? Sayang blinock mo ko agad. ?????? https://t.co/AkhtbhXVd3,1,1,0.99274784,1,0.972
Bakit ba takot na takot kayo kay VP Binay? Lagi niyo na lang siyang sisiraan? How pathetic! #OnlyBinayUNAsaIlocos,1,0,0.83916736,1,0.966
"Yes, I believe that Mar Roxas was quoted out of context... The context being an assumption that people were up to no good.",0,0,0.9908302,0,0.996
Nagsasayang ng Effort.,1,0,0.97634727,1,0.697
RT @damienful: Tinalo ng Only Binay ang Micronutrient Deficiency ng Bear Brand at 'Only Belo Touches My Skin' tagline ng Belo.,0,1,0.98871475,1,0.802
"""Ngayon inuusig ako dahil ayaw nilang mapagpatuloy ang mga programa. Palibhasa sila'y anak-mayaman."" - VP Binay 

#OnlyBinay",1,1,0.9965209,1,0.572
My friends are switching from Mar Roxas to Duterte. They said the ad was so sick done by a desperate psycho. Haha ???? #DuterteTillTheEnd,1,1,0.9962083,1,0.9756
